,Record.No.,Herbarium,Accession.No,Collector,Colln.No.,Mo,Day,Year,State,County,Locality,Description,Latitude,Longitude,Elevation,Mean.Temp,Mean.Precip,Apex.Shape,Sinus.Shape,Lf.Length1,Lf.Width1,Lf.Length2,Lf.Width2,Lf.Length.Av,Lf.Width.Av,WL.Ratio,Lf.Area.Prox
1,1L,NY,,"Fitzpatrick, T.J.",s.n.,7,3,1896,IA,Appanoose County,,,40.68061,-92.85771,303,10.3,916,5,4,81.21,90.45,43.48,48.17,62.35,69.31,1.111627907,2880.75
2,2L,NY,1116276,"Altha, Daniel",7276,5,18,2009,TN,Albion County,"ca 12 km NE of Tiptonville, E shore of Reelfoot Lake, place locally known as Walnut Log",,36.443278,-89.351941,86,14.6,1275,4,3,76.45,86.61,63.43,73.44,69.94,80.03,1.144266514,3731.3
3,3L,NY,,"McCoy, Scott",5632,8,15,1942,IN,Marion County,Holliday Park Botanical Garden (is this in cultivation),,39.871071,-86.161234,239.4,10.9,1007,4,3,93.89,93.98,91.92,97.95,92.91,95.97,1.032935098,5943.75
4,4L,NY,,"Stark, Orton K.",311,7,9,1922,IN,Noble County,Near Big K(?) lake,,41.427738,-85.354964,297,9,933,4,3,116.51,111.36,82.08,93.18,99.3,102.27,1.029909366,6769.93
5,5L,NY,,"McKee, Madge",1313,7,12,1932,IN,Newton County,Washington Twp,,40.869779,-87.440579,200,9.9,961,4,3,98.14,92.74,87.6,89.09,92.87,90.92,0.979002907,5628.85
6,6L,NY,,"McCoy, Scott",908,8,2,1931,IN,Marion County,Woollens Gardens,,39.866205,-86.050286,225,10.8,1019,4,3,73.9,77.42,62.67,68.56,68.29,72.99,1.068824132,3322.75
7,7L,NY,,"McCoy, Scott",4693,9,19,1937,IN,Marion County,High woods north of Indianapolis,,39.855294,-86.171825,232.4,10.9,1012,4,3,93.04,102,79.74,98.91,86.39,100.46,1.162866072,5785.54
8,8L,NY,,"Britton, N.L.",s.n.,8,31,1885,VA,,Luray,,38.665397,-78.459452,242,11.7,980,6,4,92.68,94.62,90.25,92.82,91.47,93.72,1.024598229,5714.73
9,9L,NY,,"Credle, Walter C.",480,6,6,1979,SC,Abbeville County,Slope along Bond Creek; 1 mile east of the Savannah River and about 1 mile south of the Anderson-Abbeville County Line,,34.206284,-82.720779,132.4,16.2,1209,5,4,83.57,88.09,87.22,90.74,85.4,89.42,1.0470726,5090.4
10,10L,NY,,"Willis, O.R.",s.n.,7,4,1882,NY,Westchester County,White Plains,,41.033986,-73.76291,65.3,NA,NA,2,3,77.27,89.79,75.73,87.17,76.5,88.48,1.156601307,4512.48
